area_util,banheiros,vagas,quartos,suites,latitude,longitude,dist_terreno,preco,preco_m2
74,0,2,1,1,-26.9704195,-48.6344147,1.72428093685801,650000,8783.783783783783
132,4,3,3,3,-26.999742507934567,-48.62764739990234,1.83951385849366,1990000,15075.757575757576
93,3,2,3,2,-26.9943345,-48.6346197,1.00170224400497,989000,10634.408602150537
130,3,3,4,2,-26.9722114,-48.635606,1.50977780041259,1400000,10769.23076923077
183,4,3,3,3,-26.991071701049805,-48.635208129882805,0.637881851763204,4750000,25956.284153005465
132,0,2,4,2,-27.0024064,-48.6300957,1.99745564277363,1360000,10303.030303030304
135,4,3,3,3,-27.0044664,-48.6234615,2.50625343021372,1500000,11111.111111111111
194,5,4,4,4,-27.005723,-48.6124648,3.33003214789901,7308000,37670.1030927835
121,4,2,3,3,-27.00511932373047,-48.6215705871582,2.67281142397075,1750000,14462.809917355371
170,3,3,3,1,-26.9997726,-48.6296269,1.747411077917,1599800,9410.588235294117
120,2,1,3,1,-26.9877095,-48.6355595,0.289646740657982,790000,6583.333333333333
151,3,2,3,3,-26.9769450879255,-48.63715865714721,0.972709304544614,1900000,12582.781456953642
254,4,4,4,4,-26.9953549,-48.6332607,1.15211159516552,4020000,15826.771653543306
131,4,2,3,3,-26.9990292,-48.6316544,1.59105825135133,1298000,9908.396946564886
133,4,4,3,3,-26.997772,-48.627332,1.67530274540653,1495000,11240.601503759399
154,0,2,3,3,-26.9934579,-48.635153100000025,0.893680111108802,1200000,7792.207792207792
87,2,1,2,1,-26.9922646,-48.63762330000001,0.73328891160671,450800,5181.609195402299
69,2,1,2,1,-26.9903,-48.6318,0.756075330881704,550000,7971.014492753623
182,4,4,3,3,-26.9711339,-48.6338366,1.6572196076388,3880000,21318.68131868132
160,4,1,4,3,-26.9808,-48.6346,0.609647023644885,950000,5937.5
113,3,3,4,2,-26.979508,-48.6373639,0.687145876977486,1800000,15929.20353982301
